time,latitude,longitude,t2,stationid,fhour,init_time
2021-06-21 00:00:00,50.25,238.5,297.67657,CWLY,0.0,2021-06-21 00:00:00
2021-06-21 06:00:00,50.25,238.5,287.11356,CWLY,6.0,2021-06-21 00:00:00
2021-06-21 12:00:00,50.25,238.5,282.50363,CWLY,12.0,2021-06-21 00:00:00
2021-06-21 18:00:00,50.25,238.5,293.96878,CWLY,18.0,2021-06-21 00:00:00
2021-06-22 00:00:00,50.25,238.5,298.48346,CWLY,24.0,2021-06-21 00:00:00
2021-06-22 06:00:00,50.25,238.5,288.1951,CWLY,30.0,2021-06-21 00:00:00
2021-06-22 12:00:00,50.25,238.5,283.9357,CWLY,36.0,2021-06-21 00:00:00
2021-06-22 18:00:00,50.25,238.5,294.79636,CWLY,42.0,2021-06-21 00:00:00
2021-06-23 00:00:00,50.25,238.5,297.16867,CWLY,48.0,2021-06-21 00:00:00
2021-06-23 06:00:00,50.25,238.5,287.41104,CWLY,54.0,2021-06-21 00:00:00
2021-06-23 12:00:00,50.25,238.5,283.98502,CWLY,60.0,2021-06-21 00:00:00
2021-06-23 18:00:00,50.25,238.5,292.81747,CWLY,66.0,2021-06-21 00:00:00
2021-06-24 00:00:00,50.25,238.5,294.09323,CWLY,72.0,2021-06-21 00:00:00
2021-06-24 06:00:00,50.25,238.5,287.0882,CWLY,78.0,2021-06-21 00:00:00
2021-06-24 12:00:00,50.25,238.5,284.43613,CWLY,84.0,2021-06-21 00:00:00
2021-06-24 18:00:00,50.25,238.5,293.3486,CWLY,90.0,2021-06-21 00:00:00
2021-06-25 00:00:00,50.25,238.5,296.8056,CWLY,96.0,2021-06-21 00:00:00
2021-06-25 06:00:00,50.25,238.5,288.53207,CWLY,102.0,2021-06-21 00:00:00
2021-06-25 12:00:00,50.25,238.5,285.3944,CWLY,108.0,2021-06-21 00:00:00
2021-06-25 18:00:00,50.25,238.5,295.8805,CWLY,114.0,2021-06-21 00:00:00
2021-06-26 00:00:00,50.25,238.5,302.1325,CWLY,120.0,2021-06-21 00:00:00
2021-06-26 06:00:00,50.25,238.5,292.28445,CWLY,126.0,2021-06-21 00:00:00
2021-06-26 12:00:00,50.25,238.5,288.0484,CWLY,132.0,2021-06-21 00:00:00
2021-06-26 18:00:00,50.25,238.5,299.56793,CWLY,138.0,2021-06-21 00:00:00
2021-06-27 00:00:00,50.25,238.5,301.23376,CWLY,144.0,2021-06-21 00:00:00
2021-06-27 06:00:00,50.25,238.5,290.88126,CWLY,150.0,2021-06-21 00:00:00
2021-06-27 12:00:00,50.25,238.5,287.6889,CWLY,156.0,2021-06-21 00:00:00
2021-06-27 18:00:00,50.25,238.5,297.38635,CWLY,162.0,2021-06-21 00:00:00
2021-06-28 00:00:00,50.25,238.5,301.9289,CWLY,168.0,2021-06-21 00:00:00
2021-06-28 06:00:00,50.25,238.5,291.42172,CWLY,174.0,2021-06-21 00:00:00
2021-06-28 12:00:00,50.25,238.5,287.78296,CWLY,180.0,2021-06-21 00:00:00
2021-06-28 18:00:00,50.25,238.5,299.5971,CWLY,186.0,2021-06-21 00:00:00
2021-06-29 00:00:00,50.25,238.5,304.24963,CWLY,192.0,2021-06-21 00:00:00
2021-06-29 06:00:00,50.25,238.5,291.15714,CWLY,198.0,2021-06-21 00:00:00
