time,latitude,longitude,t2,fhour
2024-06-15 00:00:00,47.5,0.0,284.41776,0.0
2024-06-15 06:00:00,47.5,0.0,284.8254,6.0
2024-06-15 12:00:00,47.5,0.0,288.8409,12.0
2024-06-15 18:00:00,47.5,0.0,288.29312,18.0
2024-06-16 00:00:00,47.5,0.0,286.43826,24.0
2024-06-16 06:00:00,47.5,0.0,286.8816,30.0
2024-06-16 12:00:00,47.5,0.0,290.734,36.0
2024-06-16 18:00:00,47.5,0.0,290.47668,42.0
2024-06-17 00:00:00,47.5,0.0,288.0205,48.0
2024-06-17 06:00:00,47.5,0.0,288.43582,54.0
2024-06-17 12:00:00,47.5,0.0,292.55322,60.0
2024-06-17 18:00:00,47.5,0.0,293.22586,66.0
2024-06-18 00:00:00,47.5,0.0,289.49573,72.0
2024-06-18 06:00:00,47.5,0.0,289.55243,78.0
2024-06-18 12:00:00,47.5,0.0,295.01514,84.0
2024-06-18 18:00:00,47.5,0.0,295.0763,90.0
2024-06-19 00:00:00,47.5,0.0,291.38693,96.0
2024-06-19 06:00:00,47.5,0.0,290.96143,102.0
2024-06-19 12:00:00,47.5,0.0,295.71072,108.0
2024-06-19 18:00:00,47.5,0.0,296.2458,114.0
2024-06-20 00:00:00,47.5,0.0,291.8838,120.0
2024-06-20 06:00:00,47.5,0.0,289.65182,126.0
2024-06-20 12:00:00,47.5,0.0,294.19727,132.0
2024-06-20 18:00:00,47.5,0.0,294.5616,138.0
2024-06-21 00:00:00,47.5,0.0,290.77036,144.0
2024-06-21 06:00:00,47.5,0.0,289.29257,150.0
2024-06-21 12:00:00,47.5,0.0,291.04553,156.0
2024-06-21 18:00:00,47.5,0.0,291.55002,162.0
2024-06-22 00:00:00,47.5,0.0,288.1664,168.0
2024-06-22 06:00:00,47.5,0.0,288.1384,174.0
2024-06-22 12:00:00,47.5,0.0,292.35773,180.0
2024-06-22 18:00:00,47.5,0.0,293.27496,186.0
2024-06-23 00:00:00,47.5,0.0,288.91296,192.0
2024-06-23 06:00:00,47.5,0.0,288.61487,198.0
2024-06-23 12:00:00,47.5,0.0,291.79465,204.0
2024-06-23 18:00:00,47.5,0.0,290.20477,210.0
2024-06-24 00:00:00,47.5,0.0,287.31036,216.0
2024-06-24 06:00:00,47.5,0.0,287.23712,222.0
2024-06-24 12:00:00,47.5,0.0,291.25262,228.0
2024-06-24 18:00:00,47.5,0.0,292.06796,234.0
2024-06-25 00:00:00,47.5,0.0,288.09323,240.0
2024-06-15 12:00:00,47.5,0.0,287.72073,0.0
2024-06-15 18:00:00,47.5,0.0,288.2838,6.0
2024-06-16 00:00:00,47.5,0.0,286.3678,12.0
2024-06-16 06:00:00,47.5,0.0,287.04553,18.0
2024-06-16 12:00:00,47.5,0.0,290.32724,24.0
2024-06-16 18:00:00,47.5,0.0,290.51068,30.0
2024-06-17 00:00:00,47.5,0.0,287.98315,36.0
2024-06-17 06:00:00,47.5,0.0,288.4214,42.0
2024-06-17 12:00:00,47.5,0.0,292.82416,48.0
2024-06-17 18:00:00,47.5,0.0,293.80255,54.0
2024-06-18 00:00:00,47.5,0.0,290.07242,60.0
2024-06-18 06:00:00,47.5,0.0,290.06415,66.0
2024-06-18 12:00:00,47.5,0.0,295.97528,72.0
2024-06-18 18:00:00,47.5,0.0,295.98166,78.0
2024-06-19 00:00:00,47.5,0.0,292.14963,84.0
2024-06-19 06:00:00,47.5,0.0,291.66043,90.0
2024-06-19 12:00:00,47.5,0.0,296.91928,96.0
2024-06-19 18:00:00,47.5,0.0,296.89954,102.0
2024-06-20 00:00:00,47.5,0.0,292.29294,108.0
2024-06-20 06:00:00,47.5,0.0,291.30435,114.0
2024-06-20 12:00:00,47.5,0.0,295.42175,120.0
2024-06-20 18:00:00,47.5,0.0,294.09683,126.0
2024-06-21 00:00:00,47.5,0.0,289.6329,132.0
2024-06-21 06:00:00,47.5,0.0,288.25705,138.0
2024-06-21 12:00:00,47.5,0.0,293.00635,144.0
2024-06-21 18:00:00,47.5,0.0,292.28784,150.0
2024-06-22 00:00:00,47.5,0.0,288.0889,156.0
2024-06-22 06:00:00,47.5,0.0,288.19208,162.0
2024-06-22 12:00:00,47.5,0.0,293.57324,168.0
2024-06-22 18:00:00,47.5,0.0,291.5655,174.0
2024-06-23 00:00:00,47.5,0.0,287.97806,180.0
2024-06-23 06:00:00,47.5,0.0,287.00986,186.0
2024-06-23 12:00:00,47.5,0.0,290.27118,192.0
2024-06-23 18:00:00,47.5,0.0,290.7094,198.0
2024-06-24 00:00:00,47.5,0.0,287.30542,204.0
2024-06-24 06:00:00,47.5,0.0,286.81876,210.0
2024-06-24 12:00:00,47.5,0.0,291.52728,216.0
2024-06-24 18:00:00,47.5,0.0,292.18973,222.0
2024-06-25 00:00:00,47.5,0.0,288.29654,228.0
2024-06-25 06:00:00,47.5,0.0,287.6876,234.0
2024-06-25 12:00:00,47.5,0.0,291.1935,240.0
2024-06-16 00:00:00,47.5,0.0,284.09982,0.0
2024-06-16 06:00:00,47.5,0.0,286.46426,6.0
2024-06-16 12:00:00,47.5,0.0,290.0517,12.0
2024-06-16 18:00:00,47.5,0.0,290.56638,18.0
2024-06-17 00:00:00,47.5,0.0,287.8758,24.0
2024-06-17 06:00:00,47.5,0.0,288.4134,30.0
2024-06-17 12:00:00,47.5,0.0,292.7754,36.0
2024-06-17 18:00:00,47.5,0.0,293.58054,42.0
2024-06-18 00:00:00,47.5,0.0,290.0135,48.0
2024-06-18 06:00:00,47.5,0.0,289.95044,54.0
2024-06-18 12:00:00,47.5,0.0,295.1074,60.0
2024-06-18 18:00:00,47.5,0.0,295.11566,66.0
2024-06-19 00:00:00,47.5,0.0,291.46707,72.0
2024-06-19 06:00:00,47.5,0.0,291.26068,78.0
2024-06-19 12:00:00,47.5,0.0,296.68262,84.0
2024-06-19 18:00:00,47.5,0.0,297.12595,90.0
2024-06-20 00:00:00,47.5,0.0,292.5805,96.0
2024-06-20 06:00:00,47.5,0.0,291.7397,102.0
2024-06-20 12:00:00,47.5,0.0,294.65448,108.0
2024-06-20 18:00:00,47.5,0.0,293.1767,114.0
2024-06-21 00:00:00,47.5,0.0,288.89624,120.0
2024-06-21 06:00:00,47.5,0.0,288.44272,126.0
2024-06-21 12:00:00,47.5,0.0,293.04932,132.0
2024-06-21 18:00:00,47.5,0.0,292.26965,138.0
2024-06-22 00:00:00,47.5,0.0,287.8465,144.0
2024-06-22 06:00:00,47.5,0.0,287.62482,150.0
2024-06-22 12:00:00,47.5,0.0,292.476,156.0
2024-06-22 18:00:00,47.5,0.0,294.443,162.0
2024-06-23 00:00:00,47.5,0.0,290.24405,168.0
2024-06-23 06:00:00,47.5,0.0,289.3472,174.0
2024-06-23 12:00:00,47.5,0.0,292.30276,180.0
2024-06-23 18:00:00,47.5,0.0,290.4683,186.0
2024-06-24 00:00:00,47.5,0.0,287.14584,192.0
2024-06-24 06:00:00,47.5,0.0,287.35733,198.0
2024-06-24 12:00:00,47.5,0.0,292.37158,204.0
2024-06-24 18:00:00,47.5,0.0,293.0595,210.0
2024-06-25 00:00:00,47.5,0.0,288.7994,216.0
2024-06-25 06:00:00,47.5,0.0,288.6994,222.0
2024-06-25 12:00:00,47.5,0.0,292.97986,228.0
2024-06-25 18:00:00,47.5,0.0,293.55823,234.0
2024-06-26 00:00:00,47.5,0.0,289.88925,240.0
2024-06-16 12:00:00,47.5,0.0,288.9461,0.0
2024-06-16 18:00:00,47.5,0.0,290.75003,6.0
2024-06-17 00:00:00,47.5,0.0,288.2225,12.0
2024-06-17 06:00:00,47.5,0.0,288.6964,18.0
2024-06-17 12:00:00,47.5,0.0,293.52722,24.0
2024-06-17 18:00:00,47.5,0.0,293.83807,30.0
2024-06-18 00:00:00,47.5,0.0,290.25064,36.0
2024-06-18 06:00:00,47.5,0.0,290.26944,42.0
2024-06-18 12:00:00,47.5,0.0,295.38562,48.0
2024-06-18 18:00:00,47.5,0.0,294.6671,54.0
2024-06-19 00:00:00,47.5,0.0,291.10007,60.0
2024-06-19 06:00:00,47.5,0.0,290.68475,66.0
2024-06-19 12:00:00,47.5,0.0,294.33334,72.0
2024-06-19 18:00:00,47.5,0.0,295.29645,78.0
2024-06-20 00:00:00,47.5,0.0,291.6071,84.0
2024-06-20 06:00:00,47.5,0.0,290.00702,90.0
2024-06-20 12:00:00,47.5,0.0,294.77667,96.0
2024-06-20 18:00:00,47.5,0.0,294.72763,102.0
2024-06-21 00:00:00,47.5,0.0,290.9771,108.0
2024-06-21 06:00:00,47.5,0.0,289.5605,114.0
2024-06-21 12:00:00,47.5,0.0,292.31223,120.0
2024-06-21 18:00:00,47.5,0.0,290.8752,126.0
2024-06-22 00:00:00,47.5,0.0,288.2254,132.0
2024-06-22 06:00:00,47.5,0.0,287.80246,138.0
2024-06-22 12:00:00,47.5,0.0,291.47144,144.0
2024-06-22 18:00:00,47.5,0.0,290.90326,150.0
2024-06-23 00:00:00,47.5,0.0,288.9057,156.0
2024-06-23 06:00:00,47.5,0.0,288.73755,162.0
2024-06-23 12:00:00,47.5,0.0,291.9581,168.0
2024-06-23 18:00:00,47.5,0.0,292.74796,174.0
2024-06-24 00:00:00,47.5,0.0,290.037,180.0
2024-06-24 06:00:00,47.5,0.0,289.7822,186.0
2024-06-24 12:00:00,47.5,0.0,293.3085,192.0
2024-06-24 18:00:00,47.5,0.0,294.49582,198.0
2024-06-25 00:00:00,47.5,0.0,291.39758,204.0
2024-06-25 06:00:00,47.5,0.0,290.8294,210.0
2024-06-25 12:00:00,47.5,0.0,295.61945,216.0
2024-06-25 18:00:00,47.5,0.0,296.96472,222.0
2024-06-26 00:00:00,47.5,0.0,291.767,228.0
2024-06-26 06:00:00,47.5,0.0,292.43964,234.0
2024-06-26 12:00:00,47.5,0.0,300.06296,240.0
2024-06-17 00:00:00,47.5,0.0,287.1026,0.0
2024-06-17 06:00:00,47.5,0.0,288.081,6.0
2024-06-17 12:00:00,47.5,0.0,293.4214,12.0
2024-06-17 18:00:00,47.5,0.0,293.42902,18.0
2024-06-18 00:00:00,47.5,0.0,289.94348,24.0
2024-06-18 06:00:00,47.5,0.0,290.0938,30.0
2024-06-18 12:00:00,47.5,0.0,295.55652,36.0
2024-06-18 18:00:00,47.5,0.0,294.32333,42.0
2024-06-19 00:00:00,47.5,0.0,290.69513,48.0
2024-06-19 06:00:00,47.5,0.0,289.80338,54.0
2024-06-19 12:00:00,47.5,0.0,293.18698,60.0
2024-06-19 18:00:00,47.5,0.0,294.53226,66.0
2024-06-20 00:00:00,47.5,0.0,290.5983,72.0
2024-06-20 06:00:00,47.5,0.0,289.30396,78.0
2024-06-20 12:00:00,47.5,0.0,294.27747,84.0
2024-06-20 18:00:00,47.5,0.0,294.6138,90.0
2024-06-21 00:00:00,47.5,0.0,291.00598,96.0
2024-06-21 06:00:00,47.5,0.0,289.96133,102.0
2024-06-21 12:00:00,47.5,0.0,290.89896,108.0
2024-06-21 18:00:00,47.5,0.0,290.22122,114.0
2024-06-22 00:00:00,47.5,0.0,288.46826,120.0
2024-06-22 06:00:00,47.5,0.0,286.67453,126.0
2024-06-22 12:00:00,47.5,0.0,290.50656,132.0
2024-06-22 18:00:00,47.5,0.0,289.67084,138.0
2024-06-23 00:00:00,47.5,0.0,288.23383,144.0
2024-06-23 06:00:00,47.5,0.0,286.8376,150.0
2024-06-23 12:00:00,47.5,0.0,291.05692,156.0
2024-06-23 18:00:00,47.5,0.0,292.12704,162.0
2024-06-24 00:00:00,47.5,0.0,287.6835,168.0
2024-06-24 06:00:00,47.5,0.0,287.2529,174.0
2024-06-24 12:00:00,47.5,0.0,294.4278,180.0
2024-06-24 18:00:00,47.5,0.0,295.31955,186.0
2024-06-25 00:00:00,47.5,0.0,290.32565,192.0
2024-06-25 06:00:00,47.5,0.0,290.22055,198.0
2024-06-25 12:00:00,47.5,0.0,297.02853,204.0
2024-06-25 18:00:00,47.5,0.0,297.14957,210.0
2024-06-26 00:00:00,47.5,0.0,292.70602,216.0
2024-06-26 06:00:00,47.5,0.0,292.29837,222.0
2024-06-26 12:00:00,47.5,0.0,297.67953,228.0
2024-06-26 18:00:00,47.5,0.0,297.7929,234.0
2024-06-27 00:00:00,47.5,0.0,293.14554,240.0
2024-06-17 12:00:00,47.5,0.0,292.7557,0.0
2024-06-17 18:00:00,47.5,0.0,293.59653,6.0
2024-06-18 00:00:00,47.5,0.0,290.31482,12.0
2024-06-18 06:00:00,47.5,0.0,290.61038,18.0
2024-06-18 12:00:00,47.5,0.0,295.8285,24.0
2024-06-18 18:00:00,47.5,0.0,294.02457,30.0
2024-06-19 00:00:00,47.5,0.0,290.3556,36.0
2024-06-19 06:00:00,47.5,0.0,289.48932,42.0
2024-06-19 12:00:00,47.5,0.0,292.52643,48.0
2024-06-19 18:00:00,47.5,0.0,293.6373,54.0
2024-06-20 00:00:00,47.5,0.0,290.17215,60.0
2024-06-20 06:00:00,47.5,0.0,289.53772,66.0
2024-06-20 12:00:00,47.5,0.0,294.06277,72.0
2024-06-20 18:00:00,47.5,0.0,294.00162,78.0
2024-06-21 00:00:00,47.5,0.0,290.4957,84.0
2024-06-21 06:00:00,47.5,0.0,289.45105,90.0
2024-06-21 12:00:00,47.5,0.0,291.64224,96.0
2024-06-21 18:00:00,47.5,0.0,293.7213,102.0
2024-06-22 00:00:00,47.5,0.0,287.97327,108.0
2024-06-22 06:00:00,47.5,0.0,287.62674,114.0
2024-06-22 12:00:00,47.5,0.0,290.27655,120.0
2024-06-22 18:00:00,47.5,0.0,290.37018,126.0
2024-06-23 00:00:00,47.5,0.0,287.74075,132.0
2024-06-23 06:00:00,47.5,0.0,286.6961,138.0
2024-06-23 12:00:00,47.5,0.0,291.66962,144.0
2024-06-23 18:00:00,47.5,0.0,292.51553,150.0
2024-06-24 00:00:00,47.5,0.0,287.9701,156.0
2024-06-24 06:00:00,47.5,0.0,287.2159,162.0
2024-06-24 12:00:00,47.5,0.0,294.22772,168.0
2024-06-24 18:00:00,47.5,0.0,294.8443,174.0
2024-06-25 00:00:00,47.5,0.0,289.68735,180.0
2024-06-25 06:00:00,47.5,0.0,289.45547,186.0
2024-06-25 12:00:00,47.5,0.0,297.28262,192.0
2024-06-25 18:00:00,47.5,0.0,297.73105,198.0
2024-06-26 00:00:00,47.5,0.0,291.8607,204.0
2024-06-26 06:00:00,47.5,0.0,291.34857,210.0
2024-06-26 12:00:00,47.5,0.0,299.99106,216.0
2024-06-26 18:00:00,47.5,0.0,299.9828,222.0
2024-06-27 00:00:00,47.5,0.0,293.99014,228.0
2024-06-27 06:00:00,47.5,0.0,292.88947,234.0
2024-06-27 12:00:00,47.5,0.0,301.65424,240.0
2024-06-18 00:00:00,47.5,0.0,288.5,0.0
2024-06-18 06:00:00,47.5,0.0,289.9574,6.0
2024-06-18 12:00:00,47.5,0.0,294.86975,12.0
2024-06-18 18:00:00,47.5,0.0,293.70792,18.0
2024-06-19 00:00:00,47.5,0.0,289.91666,24.0
2024-06-19 06:00:00,47.5,0.0,289.09113,30.0
2024-06-19 12:00:00,47.5,0.0,292.1486,36.0
2024-06-19 18:00:00,47.5,0.0,293.18814,42.0
2024-06-20 00:00:00,47.5,0.0,290.00836,48.0
2024-06-20 06:00:00,47.5,0.0,289.34082,54.0
2024-06-20 12:00:00,47.5,0.0,292.92825,60.0
2024-06-20 18:00:00,47.5,0.0,292.46454,66.0
2024-06-21 00:00:00,47.5,0.0,289.89627,72.0
2024-06-21 06:00:00,47.5,0.0,288.73953,78.0
2024-06-21 12:00:00,47.5,0.0,291.17532,84.0
2024-06-21 18:00:00,47.5,0.0,292.0467,90.0
2024-06-22 00:00:00,47.5,0.0,287.35855,96.0
2024-06-22 06:00:00,47.5,0.0,287.3286,102.0
2024-06-22 12:00:00,47.5,0.0,289.97842,108.0
2024-06-22 18:00:00,47.5,0.0,289.1274,114.0
2024-06-23 00:00:00,47.5,0.0,286.02917,120.0
2024-06-23 06:00:00,47.5,0.0,285.8884,126.0
2024-06-23 12:00:00,47.5,0.0,290.82114,132.0
2024-06-23 18:00:00,47.5,0.0,291.10394,138.0
2024-06-24 00:00:00,47.5,0.0,287.84262,144.0
2024-06-24 06:00:00,47.5,0.0,287.40692,150.0
2024-06-24 12:00:00,47.5,0.0,293.44034,156.0
2024-06-24 18:00:00,47.5,0.0,293.9958,162.0
2024-06-25 00:00:00,47.5,0.0,288.96115,168.0
2024-06-25 06:00:00,47.5,0.0,288.10507,174.0
2024-06-25 12:00:00,47.5,0.0,294.17926,180.0
2024-06-25 18:00:00,47.5,0.0,294.857,186.0
2024-06-26 00:00:00,47.5,0.0,289.7408,192.0
2024-06-26 06:00:00,47.5,0.0,289.62933,198.0
2024-06-26 12:00:00,47.5,0.0,295.54047,204.0
2024-06-26 18:00:00,47.5,0.0,296.1061,210.0
2024-06-27 00:00:00,47.5,0.0,290.48035,216.0
2024-06-27 06:00:00,47.5,0.0,289.99368,222.0
2024-06-27 12:00:00,47.5,0.0,297.1278,228.0
2024-06-27 18:00:00,47.5,0.0,297.56094,234.0
2024-06-28 00:00:00,47.5,0.0,291.3237,240.0
2024-06-18 12:00:00,47.5,0.0,294.6465,0.0
2024-06-18 18:00:00,47.5,0.0,294.53503,6.0
2024-06-19 00:00:00,47.5,0.0,290.13226,12.0
2024-06-19 06:00:00,47.5,0.0,289.3475,18.0
2024-06-19 12:00:00,47.5,0.0,292.30307,24.0
2024-06-19 18:00:00,47.5,0.0,293.3732,30.0
2024-06-20 00:00:00,47.5,0.0,290.13226,36.0
2024-06-20 06:00:00,47.5,0.0,289.50803,42.0
2024-06-20 12:00:00,47.5,0.0,293.68658,48.0
2024-06-20 18:00:00,47.5,0.0,292.4636,54.0
2024-06-21 00:00:00,47.5,0.0,289.46725,60.0
2024-06-21 06:00:00,47.5,0.0,288.97806,66.0
2024-06-21 12:00:00,47.5,0.0,292.99356,72.0
2024-06-21 18:00:00,47.5,0.0,292.16293,78.0
2024-06-22 00:00:00,47.5,0.0,288.47357,84.0
2024-06-22 06:00:00,47.5,0.0,287.7194,90.0
2024-06-22 12:00:00,47.5,0.0,291.69412,96.0
2024-06-22 18:00:00,47.5,0.0,289.59467,102.0
2024-06-23 00:00:00,47.5,0.0,286.23145,108.0
2024-06-23 06:00:00,47.5,0.0,285.86963,114.0
2024-06-23 12:00:00,47.5,0.0,291.69922,120.0
2024-06-23 18:00:00,47.5,0.0,292.13235,126.0
2024-06-24 00:00:00,47.5,0.0,287.72958,132.0
2024-06-24 06:00:00,47.5,0.0,287.52066,138.0
2024-06-24 12:00:00,47.5,0.0,293.14642,144.0
2024-06-24 18:00:00,47.5,0.0,293.6331,150.0
2024-06-25 00:00:00,47.5,0.0,288.6392,156.0
