value,lead_time,target_variable,metric,target_source,forecast_source,case_id_number,event_type
0.96160888671875,0 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.988128662109375,0 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
0.3140869140625,0 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.732635498046875,0 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
0.131683349609375,1 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.82232666015625,1 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
0.36651611328125,1 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.8165283203125,1 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
0.47601318359375,2 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.938751220703125,2 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
0.594451904296875,2 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.93408203125,2 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
0.636627197265625,3 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
3.313751220703125,3 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.0858154296875,3 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
3.837646484375,3 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.540863037109375,4 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
4.7962646484375,4 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.90447998046875,4 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
4.177032470703125,4 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.24505615234375,5 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
3.801605224609375,5 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.32354736328125,5 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
3.05767822265625,5 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.204254150390625,6 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
3.03216552734375,6 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.639373779296875,6 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
3.65484619140625,6 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.22601318359375,7 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
4.554443359375,7 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
1.99737548828125,7 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
9.325531005859375,7 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
6.613189697265625,8 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
15.16510009765625,8 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
14.83197021484375,8 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
15.757720947265625,8 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
14.301055908203125,9 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
11.295928955078125,9 days 06:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
9.521484375,9 days 12:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
14.2110595703125,9 days 18:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
13.874176025390625,10 days 00:00:00,surface_air_temperature,MaximumMAE,ERA5,zarr_forecast,1,heat_wave
2.1584787368774414,0 days 00:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.2254176139831543,0 days 06:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.162452220916748,0 days 12:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.193681001663208,0 days 18:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.2019593715667725,1 days 00:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.2775826454162598,1 days 06:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.27656626701355,1 days 12:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
2.334906816482544,1 days 18:00:00,surface_air_temperature,RMSE,ERA5,zarr_forecast,1,heat_wave
