,value,lead_time,target_variable,metric,target_source,forecast_source,case_id_number,event_type
0,0.1166102359169372,0 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
1,2.790285773026312,0 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
2,0.2717259457236878,0 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
3,2.146975226151312,0 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
4,0.3661219546669372,1 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
5,2.334200567948187,1 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
6,0.6730320980674378,1 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
7,6.911287970291937,1 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
8,6.911318487870062,2 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
9,2.707186407791937,2 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
10,0.1946690609580628,2 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
11,2.843538946854437,2 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
12,1.0227381656044372,3 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
13,2.568728155838812,3 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
14,0.2987034847861878,3 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
15,2.036898321854437,3 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
16,0.4693934390419372,4 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
17,1.4890467593544372,4 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
18,1.3908970883018128,4 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
19,2.079622931229437,4 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
20,0.6991297671669372,5 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
21,1.9435450503700622,5 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
22,0.7065709164268128,5 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
23,1.5833460757606872,5 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
24,0.4156773617393128,6 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
25,6.248293585526312,6 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
26,1.8080164859169372,6 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
27,3.828554815995062,6 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
28,1.9528223941200622,7 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
29,3.960634894120062,7 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
30,1.2960841128700622,7 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
31,4.378512091385687,7 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
32,1.5957056949013122,8 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
33,6.790285773026312,8 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
34,5.412142462479437,8 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
35,7.819063849198187,8 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
36,4.325747198807562,9 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
37,9.830111212479437,9 days 06:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
38,4.307650274979437,9 days 12:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
39,0.9942296078330628,9 days 18:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
40,2.403500848067438,10 days 00:00:00,surface_air_temperature,MinimumMAE,GHCN,kerchunk_forecast,31,freeze
41,2.062656606145213,0 days 00:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
42,1.6879800629879007,0 days 06:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
43,1.7854868171375378,0 days 12:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
44,1.8669727694399383,0 days 18:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
45,2.163569536091889,1 days 00:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
46,1.9382094489441175,1 days 06:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
47,2.089603245774698,1 days 12:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
48,1.9849225703017201,1 days 18:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
49,2.3428140779957043,2 days 00:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
50,2.060982632020726,2 days 06:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
51,2.1270981262499515,2 days 12:00:00,surface_air_temperature,RMSE,GHCN,kerchunk_forecast,31,freeze
