,value,lead_time,target_variable,metric,target_source,forecast_source,case_id_number,event_type
0,2.084686279296875,0 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
1,1.21307373046875,0 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
2,0.077728271484375,0 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
3,0.790252685546875,0 days 18:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
4,0.212432861328125,1 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
5,2.464019775390625,1 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
6,1.526092529296875,1 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
7,3.083984375,1 days 18:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
8,2.1759033203125,2 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
9,2.76324462890625,2 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
10,1.544647216796875,2 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
11,2.7242431640625,2 days 18:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
12,1.99224853515625,3 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
13,2.034912109375,3 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
14,1.107940673828125,3 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
15,1.97027587890625,3 days 18:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
16,0.997467041015625,4 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
17,2.644012451171875,4 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
18,1.82025146484375,4 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
19,3.120208740234375,4 days 18:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
20,2.746246337890625,5 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
21,2.384796142578125,5 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
22,2.02117919921875,5 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
23,4.252288818359375,5 days 18:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
24,4.520477294921875,6 days 00:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
25,6.931732177734375,6 days 06:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
26,6.527130126953125,6 days 12:00:00,surface_air_temperature,MinimumMAE,ERA5,kerchunk_forecast,30,freeze
